,0
0,2.4046722222544394
1,4.235452153601188
2,2.468385186160944
3,2.173397925366844
4,2.043873848812375
5,2.308077617692601
6,2.415960320662552
7,2.4533321439836016
8,4.365580217481919
9,4.327334138829588
10,3.632035957660456
11,4.103870773362045
12,4.163961618668561
13,4.211154013498281
14,1.9233283073264436
15,1.9960930704801847
16,2.2031287205591976
17,1.91535295226218
18,2.226155040456827
19,1.9332665443798192
20,2.176588922906324
21,2.5532990225222414
22,2.6034754268862423
23,2.4744184950507617
24,2.536562812265593
25,2.6209377035246453
26,2.460036263715234
27,2.58531419170263
28,1.543699661428115
29,1.626427787210037
30,1.5051537139243132
31,1.5796202971224622
32,1.5542762324667652
33,1.5717091052302778
34,1.6653879067021673
35,1.5798029335199744
36,1.6501025637423643
37,1.591056632862115
38,1.642261013196952
39,1.6474574677485438
40,1.578540029698737
41,1.6226506017252973
42,3.4605784367280354
43,2.4104915766925155
44,3.38979616802077
45,3.579235402608552
46,3.426534127328614
47,3.566451013256459
48,3.698114886596928
49,3.6441119979913457
50,2.167475956023434
51,2.1779244090745293
52,2.105464521326214
53,2.1584735330355893
54,2.140925074205482
55,2.097417637908419
56,3.828917427937254
57,4.0043931511094
58,4.008265634816133
59,3.855049870741664
60,3.682299168010109
61,3.825683899636739
62,2.8683166271878795
63,2.941749358055285
64,2.6493871062592005
65,2.935328762272281
66,3.085680809516611
67,3.02742900035838
68,4.000303040992613
69,2.958704035231956
70,1.0572959899236352
71,1.0494882504290544
72,1.0542259146930026
73,1.0558999383028451
74,1.9618946439617635
75,1.422056503679479
76,1.039781906642012
77,1.0533430212625416
78,1.0442993671132792
79,1.040537763450582
80,1.043364770767228
81,1.2031215082798954
82,2.11809560245493
83,1.0469116979227526
84,1.1305154917695923
85,1.1244039940551869
86,1.1256542360064254
87,1.1087521329245604
88,1.134843241136578
89,1.1094920012104603
90,2.2855726094689093
91,2.07457857801898
92,2.339773210524707
93,2.285871376441088
94,2.3132653591804457
95,1.9772394822246768
96,1.1209960592974717
97,2.3121327340049023
98,3.017422985545244
99,2.5364846491930724
100,3.1365545873446
101,3.0124127170242905
102,1.479045361953334
103,2.679679506181971
104,3.4656761587283493
105,2.7436516637346102
106,3.2540034290360293
107,3.422991081595689
108,3.8079631101560616
109,3.5549483136076514
110,2.1648991227225736
111,3.3197144872627744
112,2.5602967282770552
113,2.6061537146700515
114,2.395897489680056
115,2.7151218532019943
116,3.475611289113169
117,2.578812062489556
118,2.667043408779646
119,3.763849066450154
120,3.3197051913825244
121,3.801963139730268
122,3.542482374183848
123,3.772750640495505
124,3.6307607910632975
125,3.68433561725918
126,1.338399033539769
127,1.6203019537114378
128,1.289660323410893
129,1.4290918128493006
130,1.5088066951547414
131,1.4149278331723558
132,2.266441456690949
133,2.017949401748376
134,2.0470689684930603
135,2.1011828643401667
136,2.223268464975141
137,2.096286227530856
138,1.410468687792925
139,2.042133303823202
140,1.3415156993873374
141,1.3686543817092471
142,1.4289072886644447
143,1.8191519778982808
144,1.414325493105039
145,1.512185414910309
146,1.294079189641986
147,1.1662520886273169
148,1.234728919003023
149,1.2053806685335269
150,1.2082493324734622
151,1.3542768097023037
152,1.40796275907582
153,1.1638726342509862
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
