,0
0,0.6134897940052767
1,0.8519115518636665
2,0.620020946534353
3,0.5900296139848563
4,0.5856719286108951
5,0.6185644252629448
6,0.5624873969052315
7,0.5600034872914719
8,0.7031871809318578
9,0.7505778895028128
10,0.8536819945325141
11,0.7170068868496677
12,0.707628177762838
13,0.7242199175668328
14,0.3957396573407827
15,0.5775318865363198
16,0.590954795728172
17,0.3971207828170644
18,0.6905848815436669
19,0.4000816956300762
20,0.4500202997028051
21,0.7568758793337097
22,0.7477409393613187
23,0.8281314596610684
24,0.6683035531318099
25,0.7897100896345038
26,0.7944555340848771
27,0.7956654153371351
28,0.822394781642816
29,0.7985094869569939
30,0.8284474241482225
31,0.7979134505720812
32,0.8011919714605114
33,0.8087378055877907
34,0.8307599644270627
35,0.83093413954551
36,0.7929955227515162
37,0.7772753712368279
38,0.8062338649493352
39,0.7938787569297904
40,0.7936525568942083
41,0.7941321160649325
42,0.7234214687551267
43,0.8770051865881636
44,0.6923140468128572
45,0.6793712112993063
46,0.73287701888233
47,0.6818808368416298
48,0.7793847623229285
49,0.7099231724184334
50,0.8423385238988845
51,0.849858872384239
52,0.8502861382176105
53,0.8477463901426826
54,0.8773066334031437
55,0.8525269413629304
56,0.684885291275662
57,0.7787125352191032
58,0.699492515006334
59,0.6796466582631242
60,0.8560233959077624
61,0.6981171679046028
62,0.7547655512264808
63,0.873546729337447
64,0.8929733562238185
65,0.885400703599682
66,0.8065583318987299
67,0.874300060702431
68,0.8338541081662526
69,0.87950923501792
70,0.9101422879246625
71,0.911002195980348
72,0.906951896625537
73,0.9076274086805772
74,0.8845084617602266
75,0.8412295688200879
76,0.5881484717626094
77,0.0846687225311684
78,0.0422283588789174
79,0.0539276308042831
80,0.0917378957290182
81,0.643330785437071
82,0.5551104215494532
83,0.0637510831347348
84,0.396354377115609
85,0.4191128665128376
86,0.3496857728333986
87,0.3571089445353472
88,0.4828509941993892
89,0.3577111383819414
90,0.6472288683703513
91,0.6139898124943133
92,0.8088800361417974
93,0.8105398296592093
94,0.799933485890681
95,0.8684583712068215
96,0.437947616314662
97,0.8093180363360197
98,0.8252465584876323
99,0.7264180154427613
100,0.830949740777467
101,0.8174377953777534
102,0.9065373764633972
103,0.8488753329601499
104,0.8359185885411311
105,0.8316133422513232
106,0.8604582390311397
107,0.8618143058283916
108,0.8211807415025253
109,0.8330168202363795
110,0.9220515591711932
111,0.8912095221009033
112,0.8920525635814885
113,0.8966448249762008
114,0.8633257580492669
115,0.9119880987061996
116,0.8511490925483753
117,0.893596913224776
118,0.879932949664777
119,0.8980257002215982
120,0.9039233547351024
121,0.8842976121843769
122,0.8847409783880809
123,0.8893457710157643
124,0.8474177380778377
125,0.8904219209977565
126,0.5958536639046301
127,0.6212144865429235
128,0.577915746097993
129,0.5995662301059177
130,0.8626840926531034
131,0.6033815789980924
132,0.6593972856556051
133,0.8758941406258774
134,0.8730212987817032
135,0.863019051889694
136,0.7011606732150676
137,0.8575553315240073
138,0.8628365598491878
139,0.8615990835189554
140,0.8332858755342544
141,0.8391671090045975
142,0.8843185180126635
143,0.8816004221946838
144,0.8454477229278127
145,0.8635520933446352
146,0.8413290479718543
147,0.2243408305800595
148,0.203525678638513
149,0.3170045770959832
150,0.29535197397054486
151,0.7763228675665578
152,0.9184349008339326
153,0.22670722455272993
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
